id,name,category,state,flag,status,evidence,other_matches
44,Linux expuesto: sudoers heredado,Linux,visible,CUH{sudoers_heredado_corregido},verified_effective_source,CTF_CUH/17_linux_expuesto_sudoers_heredado/bundle/challenge.json,CTF_CUH/17_linux_expuesto_sudoers_heredado/verify_organizer.py; CTF_CUH/17_linux_expuesto_sudoers_heredado/DATOS_CTFD.md
45,Linux expuesto: servicio olvidado,Linux,visible,CUH{servicio_olvidado_documentado_y_limitado},verified_effective_source,CTF_CUH/18_linux_expuesto_servicio_olvidado/bundle/challenge.json,CTF_CUH/18_linux_expuesto_servicio_olvidado/verify_organizer.py; CTF_CUH/18_linux_expuesto_servicio_olvidado/DATOS_CTFD.md
46,Windows expuesto: share legado,Windows,visible,CUH{share_legado_reducido},verified_effective_source,CTF_CUH/19_windows_expuesto_share_legado/bundle/challenge.json,CTF_CUH/19_windows_expuesto_share_legado/verify_organizer.py; CTF_CUH/19_windows_expuesto_share_legado/DATOS_CTFD.md
47,Windows expuesto: tareas persistentes,Windows,visible,CUH{persistencia_en_tareas_reconstruida},verified_effective_source,CTF_CUH/20_windows_expuesto_tareas_persistentes/bundle/challenge.json,CTF_CUH/20_windows_expuesto_tareas_persistentes/verify_organizer.py; CTF_CUH/20_windows_expuesto_tareas_persistentes/DATOS_CTFD.md
48,Binario de despacho,Reversing,visible,CUH{clave_de_despacho_recuperada},verified_effective_source,CTF_CUH/21_binario_de_despacho/bundle/challenge.json,CTF_CUH/21_binario_de_despacho/verify_organizer.py; CTF_CUH/21_binario_de_despacho/DATOS_CTFD.md
49,Licencia bajo revisión,Reversing,visible,CUH{licencia_reconstruida_sin_parche},verified_effective_source,CTF_CUH/22_licencia_bajo_revision/bundle/challenge.json,CTF_CUH/22_licencia_bajo_revision/verify_organizer.py; CTF_CUH/22_licencia_bajo_revision/DATOS_CTFD.md
50,Perfil disperso,OSINT,visible,CUH{perfil_disperso_correlacionado},verified_effective_source,CTF_CUH/23_perfil_disperso/bundle/challenge.json,CTF_CUH/23_perfil_disperso/verify_organizer.py; CTF_CUH/23_perfil_disperso/DATOS_CTFD.md
51,Agenda filtrada,OSINT,visible,CUH{agenda_filtrada_reconstruida},verified_effective_source,CTF_CUH/24_agenda_filtrada/bundle/challenge.json,CTF_CUH/24_agenda_filtrada/verify_organizer.py; CTF_CUH/24_agenda_filtrada/DATOS_CTFD.md
52,Foto del laboratorio,OSINT,visible,CUH{foto_del_laboratorio_interpretada},verified_effective_source,CTF_CUH/25_foto_del_laboratorio/bundle/challenge.json,CTF_CUH/25_foto_del_laboratorio/verify_organizer.py; CTF_CUH/25_foto_del_laboratorio/DATOS_CTFD.md
53,Proveedor fantasma,OSINT,visible,CUH{proveedor_fantasma_correlacionado},verified_effective_source,CTF_CUH/26_proveedor_fantasma/bundle/challenge.json,CTF_CUH/26_proveedor_fantasma/verify_organizer.py; CTF_CUH/26_proveedor_fantasma/DATOS_CTFD.md
54,Huella de publicación,OSINT,visible,CUH{huella_de_publicacion_reconstruida},verified_effective_source,CTF_CUH/27_huella_de_publicacion/bundle/challenge.json,CTF_CUH/27_huella_de_publicacion/verify_organizer.py; CTF_CUH/27_huella_de_publicacion/DATOS_CTFD.md
55,XOR de respaldo,Criptografía,visible,CUH{xor_reutilizado_identificado},verified_effective_source,CTF_CUH/28_xor_de_respaldo/bundle/challenge.json,CTF_CUH/28_xor_de_respaldo/verify_organizer.py; CTF_CUH/28_xor_de_respaldo/DATOS_CTFD.md
56,Firma reciclada,Criptografía,visible,CUH{firma_con_nonce_repetido_detectada},verified_effective_source,CTF_CUH/29_firma_reciclada/bundle/challenge.json,CTF_CUH/29_firma_reciclada/verify_organizer.py; CTF_CUH/29_firma_reciclada/DATOS_CTFD.md
57,RSA sin OAEP,Criptografía,visible,CUH{rsa_con_oaep_y_sha256},verified_effective_source,CTF_CUH/30_rsa_sin_oaep/bundle/challenge.json,CTF_CUH/30_rsa_sin_oaep/verify_organizer.py; CTF_CUH/30_rsa_sin_oaep/DATOS_CTFD.md
58,Derivación lenta,Criptografía,visible,CUH{kdf_endurecida_con_pbkdf2},verified_effective_source,CTF_CUH/31_derivacion_lenta/bundle/challenge.json,CTF_CUH/31_derivacion_lenta/verify_organizer.py; CTF_CUH/31_derivacion_lenta/DATOS_CTFD.md
59,Bloques repetidos,Criptografía,visible,CUH{bloques_repetidos_interpretados},verified_effective_source,CTF_CUH/32_bloques_repetidos/bundle/challenge.json,CTF_CUH/32_bloques_repetidos/verify_organizer.py; CTF_CUH/32_bloques_repetidos/DATOS_CTFD.md
60,CBC sin integridad,Criptografía,visible,CUH{cbc_sin_integridad_identificada},verified_effective_source,CTF_CUH/33_cbc_sin_integridad/bundle/challenge.json,CTF_CUH/33_cbc_sin_integridad/verify_organizer.py; CTF_CUH/33_cbc_sin_integridad/DATOS_CTFD.md
61,IV reciclado en reportes,Criptografía,visible,CUH{iv_reciclado_detectado_en_reportes},verified_effective_source,CTF_CUH/34_iv_reciclado_en_reportes/bundle/challenge.json,CTF_CUH/34_iv_reciclado_en_reportes/verify_organizer.py; CTF_CUH/34_iv_reciclado_en_reportes/DATOS_CTFD.md
62,HMAC truncado en gateway,Criptografía,visible,CUH{gateway_hmac_verificado_completo},verified_effective_source,CTF_CUH/35_hmac_truncado_en_gateway/bundle/challenge.json,CTF_CUH/35_hmac_truncado_en_gateway/verify_organizer.py; CTF_CUH/35_hmac_truncado_en_gateway/DATOS_CTFD.md
63,Semilla predecible,Criptografía,visible,CUH{entropia_fuerte_para_llaves},verified_effective_source,CTF_CUH/36_semilla_predecible/bundle/challenge.json,CTF_CUH/36_semilla_predecible/verify_organizer.py; CTF_CUH/36_semilla_predecible/DATOS_CTFD.md
64,Certificados a ciegas,Criptografía,visible,CUH{tls_validado_con_ca_y_hostname},verified_effective_source,CTF_CUH/37_certificados_a_ciegas/bundle/challenge.json,CTF_CUH/37_certificados_a_ciegas/verify_organizer.py; CTF_CUH/37_certificados_a_ciegas/DATOS_CTFD.md
65,Cronología cruzada,OSINT,visible,CUH{cronologia_cruzada_reconstruida},verified_effective_source,CTF_CUH/38_cronologia_cruzada/bundle/challenge.json,CTF_CUH/38_cronologia_cruzada/verify_organizer.py; CTF_CUH/38_cronologia_cruzada/DATOS_CTFD.md
66,Repositorio fantasma,OSINT,visible,CUH{repositorio_fantasma_atribuido},verified_effective_source,CTF_CUH/39_repositorio_fantasma/bundle/challenge.json,CTF_CUH/39_repositorio_fantasma/verify_organizer.py; CTF_CUH/39_repositorio_fantasma/DATOS_CTFD.md
67,Credencial en ponencia,OSINT,visible,CUH{credencial_en_ponencia_correlacionada},verified_effective_source,CTF_CUH/40_credencial_en_ponencia/bundle/challenge.json,CTF_CUH/40_credencial_en_ponencia/verify_organizer.py; CTF_CUH/40_credencial_en_ponencia/DATOS_CTFD.md
68,Red de proveedores,OSINT,visible,CUH{red_de_proveedores_mapeada},verified_effective_source,CTF_CUH/41_red_de_proveedores/bundle/challenge.json,CTF_CUH/41_red_de_proveedores/verify_organizer.py; CTF_CUH/41_red_de_proveedores/DATOS_CTFD.md
69,Trazas de convocatoria,OSINT,visible,CUH{convocatoria_atribuida_y_validada},verified_effective_source,CTF_CUH/42_trazas_de_convocatoria/bundle/challenge.json,CTF_CUH/42_trazas_de_convocatoria/verify_organizer.py; CTF_CUH/42_trazas_de_convocatoria/DATOS_CTFD.md
70,Traza en PCAP,Forense,visible,CUH{tshark_reconstruye_la_pista},verified_effective_source,CTF_CUH/43_traza_en_pcap/bundle/challenge.json,CTF_CUH/43_traza_en_pcap/verify_organizer.py; CTF_CUH/43_traza_en_pcap/DATOS_CTFD.md
71,Firmware en capas,Forense,visible,CUH{binwalk_descubre_el_resto_olvidado},verified_effective_source,CTF_CUH/44_firmware_en_capas/bundle/challenge.json,CTF_CUH/44_firmware_en_capas/verify_organizer.py; CTF_CUH/44_firmware_en_capas/DATOS_CTFD.md
72,Metadatos en cascada,OSINT,visible,CUH{exiftool_enlaza_la_historia},verified_effective_source,CTF_CUH/45_metadatos_en_cascada/bundle/challenge.json,CTF_CUH/45_metadatos_en_cascada/verify_organizer.py; CTF_CUH/45_metadatos_en_cascada/DATOS_CTFD.md
73,Carving de evidencias,Forense,visible,CUH{foremost_recupera_la_pieza_util},verified_effective_source,CTF_CUH/46_carving_de_evidencias/bundle/challenge.json,CTF_CUH/46_carving_de_evidencias/verify_organizer.py; CTF_CUH/46_carving_de_evidencias/DATOS_CTFD.md
74,Diccionario de laboratorio,Cracking,visible,CUH{john_prioriza_el_contexto},verified_effective_source,CTF_CUH/47_diccionario_de_laboratorio/bundle/challenge.json,CTF_CUH/47_diccionario_de_laboratorio/verify_organizer.py; CTF_CUH/47_diccionario_de_laboratorio/DATOS_CTFD.md
75,Portal sin redirección segura,Web,visible,CUH{https_obligatorio_desde_el_borde},verified_effective_source,CTF_CUH/48_portal_sin_redireccion_segura/bundle/challenge.json,CTF_CUH/48_portal_sin_redireccion_segura/verify_organizer.py; CTF_CUH/48_portal_sin_redireccion_segura/DATOS_CTFD.md
76,HSTS pendiente,Web,visible,CUH{hsts_define_la_politica_de_transporte},verified_effective_source,CTF_CUH/49_hsts_pendiente/bundle/challenge.json,CTF_CUH/49_hsts_pendiente/verify_organizer.py; CTF_CUH/49_hsts_pendiente/DATOS_CTFD.md
77,Cookie de sesión sin Secure,Auth,visible,CUH{cookies_de_sesion_solo_por_https},verified_effective_source,CTF_CUH/50_cookie_de_sesion_sin_secure/bundle/challenge.json,CTF_CUH/50_cookie_de_sesion_sin_secure/verify_organizer.py; CTF_CUH/50_cookie_de_sesion_sin_secure/DATOS_CTFD.md
78,Contenido mixto heredado,Web,visible,CUH{todos_los_recursos_van_por_https},verified_effective_source,CTF_CUH/51_contenido_mixto_heredado/bundle/challenge.json,CTF_CUH/51_contenido_mixto_heredado/verify_organizer.py; CTF_CUH/51_contenido_mixto_heredado/DATOS_CTFD.md
79,Credenciales expuestas en tránsito,Forense,visible,CUH{credenciales_expuestas_por_http_reconstruidas},verified_effective_source,CTF_CUH/52_credenciales_expuestas_en_transito/bundle/challenge.json,CTF_CUH/52_credenciales_expuestas_en_transito/verify_organizer.py; CTF_CUH/52_credenciales_expuestas_en_transito/DATOS_CTFD.md
80,Rompe el sistema,Reconocimiento,hidden,CUH{rompe_el_sistema_reportado_con_responsabilidad},registered_only,,
