id,nombre,categoria,valor,flag,archivo_o_servicio
30,RSA sin OAEP,Criptografía,460,CUH{rsa_con_oaep_y_sha256},rsa_sin_oaep_bundle.zip
31,Derivación lenta,Criptografía,500,CUH{kdf_endurecida_con_pbkdf2},derivacion_lenta_bundle.zip
32,Bloques repetidos,Criptografía,540,CUH{bloques_repetidos_interpretados},bloques_repetidos_bundle.zip
33,CBC sin integridad,Criptografía,580,CUH{cbc_sin_integridad_identificada},cbc_sin_integridad_bundle.zip
34,IV reciclado en reportes,Criptografía,600,CUH{iv_reciclado_detectado_en_reportes},iv_reciclado_en_reportes_bundle.zip
35,HMAC truncado en gateway,Criptografía,620,CUH{gateway_hmac_verificado_completo},hmac_truncado_en_gateway_bundle.zip
36,Semilla predecible,Criptografía,640,CUH{entropia_fuerte_para_llaves},semilla_predecible_bundle.zip
37,Certificados a ciegas,Criptografía,660,CUH{tls_validado_con_ca_y_hostname},certificados_a_ciegas_bundle.zip
38,Cronología cruzada,OSINT,520,CUH{cronologia_cruzada_reconstruida},cronologia_cruzada_bundle.zip
39,Repositorio fantasma,OSINT,560,CUH{repositorio_fantasma_atribuido},repositorio_fantasma_bundle.zip
40,Credencial en ponencia,OSINT,600,CUH{credencial_en_ponencia_correlacionada},credencial_en_ponencia_bundle.zip
41,Red de proveedores,OSINT,640,CUH{red_de_proveedores_mapeada},red_de_proveedores_bundle.zip
42,Trazas de convocatoria,OSINT,680,CUH{convocatoria_atribuida_y_validada},trazas_de_convocatoria_bundle.zip
43,Traza en PCAP,Forense,560,CUH{tshark_reconstruye_la_pista},traza_en_pcap_bundle.zip
44,Firmware en capas,Forense,600,CUH{binwalk_descubre_el_resto_olvidado},firmware_en_capas_bundle.zip
45,Metadatos en cascada,OSINT,620,CUH{exiftool_enlaza_la_historia},metadatos_en_cascada_bundle.zip
46,Carving de evidencias,Forense,640,CUH{foremost_recupera_la_pieza_util},carving_de_evidencias_bundle.zip
47,Diccionario de laboratorio,Cracking,680,CUH{john_prioriza_el_contexto},diccionario_de_laboratorio_bundle.zip
48,Portal sin redirección segura,Web,520,CUH{https_obligatorio_desde_el_borde},portal_sin_redireccion_segura_bundle.zip
49,HSTS pendiente,Web,540,CUH{hsts_define_la_politica_de_transporte},hsts_pendiente_bundle.zip
50,Cookie de sesión sin Secure,Auth,560,CUH{cookies_de_sesion_solo_por_https},cookie_de_sesion_sin_secure_bundle.zip
51,Contenido mixto heredado,Web,580,CUH{todos_los_recursos_van_por_https},contenido_mixto_heredado_bundle.zip
52,Credenciales expuestas en tránsito,Forense,600,CUH{credenciales_expuestas_por_http_reconstruidas},credenciales_expuestas_en_transito_bundle.zip
